locus_tag	ftype	length_bp	gene	EC_number	COG	product
NBFAOAKO_00001	gene	633	pyrE			
NBFAOAKO_00001	CDS	633	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
NBFAOAKO_00002	gene	423				
NBFAOAKO_00002	CDS	423				hypothetical protein
NBFAOAKO_00003	gene	576				
NBFAOAKO_00003	CDS	576				hypothetical protein
NBFAOAKO_00004	gene	87				
NBFAOAKO_00004	tRNA	87				tRNA-Leu(taa)
NBFAOAKO_00005	gene	1005				
NBFAOAKO_00005	CDS	1005				hypothetical protein
NBFAOAKO_00006	gene	702				
NBFAOAKO_00006	CDS	702				hypothetical protein
NBFAOAKO_00007	gene	411	rnhA			
NBFAOAKO_00007	CDS	411	rnhA	3.1.26.4	COG3341	Ribonuclease H
NBFAOAKO_00008	gene	477				
NBFAOAKO_00008	CDS	477				hypothetical protein
NBFAOAKO_00009	gene	666				
NBFAOAKO_00009	CDS	666				hypothetical protein
NBFAOAKO_00010	gene	831				
NBFAOAKO_00010	CDS	831				hypothetical protein
NBFAOAKO_00011	gene	708				
NBFAOAKO_00011	CDS	708				hypothetical protein
NBFAOAKO_00012	gene	1455				
NBFAOAKO_00012	CDS	1455				hypothetical protein
NBFAOAKO_00013	gene	417				
NBFAOAKO_00013	CDS	417				hypothetical protein
NBFAOAKO_00014	gene	657	csm3			
NBFAOAKO_00014	CDS	657	csm3	3.1.-.-	COG1337	CRISPR system Cms endoribonuclease Csm3
NBFAOAKO_00015	gene	1017	csm4			
NBFAOAKO_00015	CDS	1017	csm4		COG1567	CRISPR system Cms protein Csm4
NBFAOAKO_00016	gene	1641				
NBFAOAKO_00016	CDS	1641				hypothetical protein
NBFAOAKO_00017	gene	1323				
NBFAOAKO_00017	CDS	1323				hypothetical protein
	repeat_region	1752				
NBFAOAKO_00018	gene	270				
NBFAOAKO_00018	CDS	270				hypothetical protein
NBFAOAKO_00019	gene	558	trmH			
NBFAOAKO_00019	CDS	558	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
NBFAOAKO_00020	gene	429	csdE			
NBFAOAKO_00020	CDS	429	csdE		COG2166	Sulfur acceptor protein CsdE
NBFAOAKO_00021	gene	1299				
NBFAOAKO_00021	CDS	1299				hypothetical protein
NBFAOAKO_00022	gene	912	xerD			
NBFAOAKO_00022	CDS	912	xerD			Tyrosine recombinase XerD
NBFAOAKO_00023	gene	1359	miaB			
NBFAOAKO_00023	CDS	1359	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NBFAOAKO_00024	gene	2886				
NBFAOAKO_00024	CDS	2886				hypothetical protein
NBFAOAKO_00025	gene	165				
NBFAOAKO_00025	CDS	165				hypothetical protein
NBFAOAKO_00026	gene	1419				
NBFAOAKO_00026	CDS	1419				hypothetical protein
NBFAOAKO_00027	gene	117				
NBFAOAKO_00027	CDS	117				hypothetical protein
NBFAOAKO_00028	gene	1389				
NBFAOAKO_00028	CDS	1389				hypothetical protein
NBFAOAKO_00029	gene	96				
NBFAOAKO_00029	CDS	96				hypothetical protein
NBFAOAKO_00030	gene	753	yhcG_1			
NBFAOAKO_00030	CDS	753	yhcG_1	3.1.-.-	COG4804	Putative nuclease YhcG
NBFAOAKO_00031	gene	348	yhcG_2			
NBFAOAKO_00031	CDS	348	yhcG_2	3.1.-.-	COG4804	Putative nuclease YhcG
NBFAOAKO_00032	gene	3633				
NBFAOAKO_00032	CDS	3633				hypothetical protein
NBFAOAKO_00033	gene	1140				
NBFAOAKO_00033	CDS	1140				hypothetical protein
NBFAOAKO_00034	gene	1314	clpX_1			
NBFAOAKO_00034	CDS	1314	clpX_1			ATP-dependent Clp protease ATP-binding subunit ClpX
NBFAOAKO_00035	gene	618				
NBFAOAKO_00035	CDS	618				hypothetical protein
NBFAOAKO_00036	gene	717				
NBFAOAKO_00036	CDS	717				hypothetical protein
NBFAOAKO_00037	gene	207				
NBFAOAKO_00037	CDS	207				hypothetical protein
NBFAOAKO_00038	gene	705	cobB			
NBFAOAKO_00038	CDS	705	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
NBFAOAKO_00039	gene	2004				
NBFAOAKO_00039	CDS	2004				hypothetical protein
NBFAOAKO_00040	gene	534				
NBFAOAKO_00040	CDS	534				hypothetical protein
NBFAOAKO_00041	gene	159				
NBFAOAKO_00041	CDS	159				hypothetical protein
NBFAOAKO_00042	gene	540				
NBFAOAKO_00042	CDS	540				hypothetical protein
NBFAOAKO_00043	gene	465	rimP			
NBFAOAKO_00043	CDS	465	rimP			Ribosome maturation factor RimP
NBFAOAKO_00044	gene	1257	nusA			
NBFAOAKO_00044	CDS	1257	nusA		COG0195	Transcription termination/antitermination protein NusA
NBFAOAKO_00045	gene	2868	infB			
NBFAOAKO_00045	CDS	2868	infB			Translation initiation factor IF-2
NBFAOAKO_00046	gene	147				
NBFAOAKO_00046	CDS	147				hypothetical protein
NBFAOAKO_00047	gene	1458	sufB			
NBFAOAKO_00047	CDS	1458	sufB		COG0719	FeS cluster assembly protein SufB
NBFAOAKO_00048	gene	366				
NBFAOAKO_00048	CDS	366				hypothetical protein
NBFAOAKO_00049	gene	756	sufC			
NBFAOAKO_00049	CDS	756	sufC		COG0396	putative ATP-dependent transporter SufC
NBFAOAKO_00050	gene	1365	sufD			
NBFAOAKO_00050	CDS	1365	sufD		COG0719	FeS cluster assembly protein SufD
NBFAOAKO_00051	gene	1584				
NBFAOAKO_00051	CDS	1584				hypothetical protein
